Reading_ID,Consumer_ID,Reading_Date,Units_Consumed,Voltage,Current,Power_Factor,Meter_Status
RD0006718,CON00560,2025-10-07,544,217.2,2.89,0.86,Normal
RD0006719,CON00560,2025-11-07,901,229.3,4.68,0.88,Normal
RD0006720,CON00560,2025-12-08,631,236.6,3.17,0.91,Normal
RD0006721,CON00561,2025-01-01,592,219.8,2.97,0.91,Normal
RD0006722,CON00561,2025-02-01,343,230.9,1.67,0.94,Normal
RD0006723,CON00561,2025-03-04,558,233.2,2.83,0.9,Normal
RD0006724,CON00561,2025-04-04,546,248.8,2.77,0.9,Normal
RD0006725,CON00561,2025-05-05,732,228.0,3.84,0.87,Normal
RD0006726,CON00561,2025-06-05,133,240.5,0.77,0.79,Tampered
RD0006727,CON00561,2025-07-06,144,218.1,0.88,0.75,Tampered
RD0006728,CON00561,2025-08-06,218,232.2,1.26,0.79,Tampered
RD0006729,CON00561,2025-09-06,120,228.5,0.74,0.74,Tampered
RD0006730,CON00561,2025-10-07,209,232.2,1.26,0.76,Tampered
RD0006731,CON00561,2025-11-07,198,235.9,1.24,0.73,Tampered
RD0006732,CON00561,2025-12-08,174,222.5,1.09,0.73,Tampered
RD0006733,CON00562,2025-01-01,132,233.7,0.63,0.95,Normal
RD0006734,CON00562,2025-02-01,142,236.4,0.75,0.87,Normal
RD0006735,CON00562,2025-03-04,198,235.4,0.92,0.98,Normal
RD0006736,CON00562,2025-04-04,111,227.0,0.53,0.96,Normal
RD0006737,CON00562,2025-05-05,138,225.4,0.66,0.95,Normal
RD0006738,CON00562,2025-06-05,117,227.1,0.6,0.89,Normal
RD0006739,CON00562,2025-07-06,128,212.0,0.63,0.93,Normal
RD0006740,CON00562,2025-08-06,139,217.2,0.71,0.89,Normal
RD0006741,CON00562,2025-09-06,144,245.4,0.68,0.96,Normal
RD0006742,CON00562,2025-10-07,189,225.8,0.95,0.91,Normal
RD0006743,CON00562,2025-11-07,158,238.6,0.8,0.9,Normal
RD0006744,CON00562,2025-12-08,165,227.1,0.78,0.97,Normal
RD0006745,CON00563,2025-01-01,187,239.1,0.9,0.95,Normal
RD0006746,CON00563,2025-02-01,165,217.1,0.88,0.86,Normal
RD0006747,CON00563,2025-03-04,164,200.9,0.86,0.87,Normal
RD0006748,CON00563,2025-04-04,197,238.9,0.99,0.91,Normal
RD0006749,CON00563,2025-05-05,184,231.7,0.94,0.89,Normal
RD0006750,CON00563,2025-06-05,139,240.0,0.71,0.9,Normal
RD0006751,CON00563,2025-07-06,171,230.1,0.88,0.89,Normal
RD0006752,CON00563,2025-08-06,143,237.5,0.68,0.96,Normal
RD0006753,CON00563,2025-09-06,159,216.9,0.76,0.96,Normal
RD0006754,CON00563,2025-10-07,210,239.6,1.03,0.93,Normal
RD0006755,CON00563,2025-11-07,194,233.3,0.98,0.9,Normal
RD0006756,CON00563,2025-12-08,142,228.9,0.75,0.86,Normal
RD0006757,CON00564,2025-01-01,183,233.8,0.87,0.96,Normal
RD0006758,CON00564,2025-02-01,124,227.8,0.6,0.95,Normal
RD0006759,CON00564,2025-03-04,116,217.9,0.62,0.86,Normal
RD0006760,CON00564,2025-04-04,122,217.5,0.6,0.93,Normal
RD0006761,CON00564,2025-05-05,146,233.0,0.69,0.97,Normal
RD0006762,CON00564,2025-06-05,158,234.7,0.78,0.92,Normal
RD0006763,CON00564,2025-07-06,119,221.5,0.62,0.88,Normal
RD0006764,CON00564,2025-08-06,141,222.3,0.67,0.96,Normal
RD0006765,CON00564,2025-09-06,110,236.1,0.57,0.88,Normal
RD0006766,CON00564,2025-10-07,163,230.0,0.87,0.86,Normal
RD0006767,CON00564,2025-11-07,116,236.4,0.54,0.98,Normal
RD0006768,CON00564,2025-12-08,154,235.4,0.83,0.85,Normal
RD0006769,CON00565,2025-01-01,148,228.1,0.7,0.97,Normal
RD0006770,CON00565,2025-02-01,171,247.9,0.87,0.9,Normal
RD0006771,CON00565,2025-03-04,158,212.6,0.82,0.88,Normal
RD0006772,CON00565,2025-04-04,183,236.4,0.85,0.98,Normal
RD0006773,CON00565,2025-05-05,195,232.3,0.95,0.94,Normal
RD0006774,CON00565,2025-06-05,177,231.7,0.89,0.91,Normal
RD0006775,CON00565,2025-07-06,96,232.1,0.47,0.93,Normal
RD0006776,CON00565,2025-08-06,160,228.1,0.75,0.97,Normal
RD0006777,CON00565,2025-09-06,112,244.5,0.56,0.92,Normal
RD0006778,CON00565,2025-10-07,89,227.7,0.47,0.87,Normal
RD0006779,CON00565,2025-11-07,138,231.1,0.7,0.9,Normal
RD0006780,CON00565,2025-12-08,129,228.1,0.66,0.89,Normal
RD0006781,CON00566,2025-01-01,196,237.8,0.97,0.92,Normal
RD0006782,CON00566,2025-02-01,121,230.8,0.57,0.97,Normal
RD0006783,CON00566,2025-03-04,202,223.4,1.06,0.87,Normal
RD0006784,CON00566,2025-04-04,137,232.4,0.67,0.93,Normal
RD0006785,CON00566,2025-05-05,168,233.6,0.79,0.97,Normal
RD0006786,CON00566,2025-06-05,120,227.9,0.58,0.95,Normal
RD0006787,CON00566,2025-07-06,78,226.8,0.38,0.93,Normal
RD0006788,CON00566,2025-08-06,151,221.3,0.78,0.88,Normal
RD0006789,CON00566,2025-09-06,170,224.6,0.84,0.92,Normal
RD0006790,CON00566,2025-10-07,189,223.6,0.89,0.97,Normal
RD0006791,CON00566,2025-11-07,180,241.4,0.91,0.9,Normal
RD0006792,CON00566,2025-12-08,84,226.8,0.42,0.92,Normal
RD0006793,CON00567,2025-01-01,176,235.5,0.89,0.9,Normal
RD0006794,CON00567,2025-02-01,163,231.0,0.79,0.94,Normal
RD0006795,CON00567,2025-03-04,172,228.5,0.84,0.93,Normal
RD0006796,CON00567,2025-04-04,124,240.6,0.62,0.91,Normal
RD0006797,CON00567,2025-05-05,123,235.7,0.62,0.9,Normal
RD0006798,CON00567,2025-06-05,121,235.2,0.61,0.9,Normal
RD0006799,CON00567,2025-07-06,96,232.0,0.52,0.85,Normal
RD0006800,CON00567,2025-08-06,124,213.1,0.64,0.88,Normal
RD0006801,CON00567,2025-09-06,179,235.0,0.85,0.96,Normal
RD0006802,CON00567,2025-10-07,148,231.8,0.7,0.97,Normal
RD0006803,CON00567,2025-11-07,144,229.7,0.76,0.86,Normal
RD0006804,CON00567,2025-12-08,147,228.9,0.76,0.88,Normal
RD0006805,CON00568,2025-01-01,144,227.6,0.68,0.97,Normal
RD0006806,CON00568,2025-02-01,181,222.3,0.89,0.93,Normal
RD0006807,CON00568,2025-03-04,161,228.9,0.85,0.86,Normal
RD0006808,CON00568,2025-04-04,174,229.2,0.82,0.97,Normal
RD0006809,CON00568,2025-05-05,123,229.7,0.59,0.95,Normal
RD0006810,CON00568,2025-06-05,178,231.5,0.84,0.97,Normal
RD0006811,CON00568,2025-07-06,101,224.3,0.53,0.87,Normal
RD0006812,CON00568,2025-08-06,184,238.5,0.97,0.87,Normal
RD0006813,CON00568,2025-09-06,162,219.8,0.8,0.92,Normal
RD0006814,CON00568,2025-10-07,119,223.7,0.56,0.97,Normal
RD0006815,CON00568,2025-11-07,131,222.8,0.62,0.97,Normal
RD0006816,CON00568,2025-12-08,124,243.8,0.58,0.97,Normal
RD0006817,CON00569,2025-01-01,4959,215.6,25.73,0.88,Normal
RD0006818,CON00569,2025-02-01,1894,233.4,9.1,0.95,Normal
RD0006819,CON00569,2025-03-04,4379,209.1,22.72,0.88,Normal
RD0006820,CON00569,2025-04-04,4409,208.8,20.97,0.96,Normal
RD0006821,CON00569,2025-05-05,3799,223.6,19.71,0.88,Normal
RD0006822,CON00569,2025-06-05,4942,218.9,24.01,0.94,Normal
RD0006823,CON00569,2025-07-06,4448,244.5,20.94,0.97,Normal
RD0006824,CON00569,2025-08-06,3961,227.4,20.32,0.89,Normal
RD0006825,CON00569,2025-09-06,4050,230.5,19.26,0.96,Normal
RD0006826,CON00569,2025-10-07,2582,224.4,13.71,0.86,Normal
RD0006827,CON00569,2025-11-07,3221,232.5,16.71,0.88,Normal
RD0006828,CON00569,2025-12-08,4376,231.8,20.6,0.97,Normal
RD0006829,CON00570,2025-01-01,165,228.1,0.79,0.95,Normal
RD0006830,CON00570,2025-02-01,145,240.0,0.77,0.86,Normal
RD0006831,CON00570,2025-03-04,206,232.6,1.05,0.9,Normal
RD0006832,CON00570,2025-04-04,154,230.2,0.73,0.96,Normal
RD0006833,CON00570,2025-05-05,153,239.7,0.74,0.94,Normal
RD0006834,CON00570,2025-06-05,177,228.0,0.89,0.91,Normal
RD0006835,CON00570,2025-07-06,118,224.3,0.57,0.94,Normal
RD0006836,CON00570,2025-08-06,171,233.9,0.82,0.95,Normal
RD0006837,CON00570,2025-09-06,143,221.9,0.76,0.86,Normal
RD0006838,CON00570,2025-10-07,145,224.3,0.74,0.9,Normal
RD0006839,CON00570,2025-11-07,165,231.2,0.85,0.89,Normal
RD0006840,CON00570,2025-12-08,148,226.6,0.73,0.92,Normal
RD0006841,CON00571,2025-01-01,135,229.1,0.66,0.93,Normal
RD0006842,CON00571,2025-02-01,157,241.7,0.77,0.93,Normal
RD0006843,CON00571,2025-03-04,156,227.0,0.77,0.93,Normal
RD0006844,CON00571,2025-04-04,132,235.6,0.7,0.86,Normal
RD0006845,CON00571,2025-05-05,174,216.4,0.85,0.93,Normal
RD0006846,CON00571,2025-06-05,93,239.7,0.5,0.85,Normal
RD0006847,CON00571,2025-07-06,152,213.5,0.75,0.92,Normal
RD0006848,CON00571,2025-08-06,117,223.0,0.61,0.88,Normal
RD0006849,CON00571,2025-09-06,153,234.0,0.81,0.86,Normal
RD0006850,CON00571,2025-10-07,127,221.5,0.61,0.95,Normal
RD0006851,CON00571,2025-11-07,161,231.5,0.76,0.97,Normal
RD0006852,CON00571,2025-12-08,152,237.1,0.81,0.86,Normal
RD0006853,CON00572,2025-01-01,552,223.7,2.8,0.9,Normal
RD0006854,CON00572,2025-02-01,586,223.4,2.94,0.91,Normal
RD0006855,CON00572,2025-03-04,717,215.1,3.34,0.98,Normal
RD0006856,CON00572,2025-04-04,554,235.9,2.78,0.91,Normal
RD0006857,CON00572,2025-05-05,535,231.6,2.66,0.92,Normal
RD0006858,CON00572,2025-06-05,661,224.9,3.39,0.89,Normal
RD0006859,CON00572,2025-07-06,750,240.6,4.03,0.85,Normal
RD0006860,CON00572,2025-08-06,842,240.6,4.05,0.95,Normal
RD0006861,CON00572,2025-09-06,735,224.2,3.95,0.85,Normal
RD0006862,CON00572,2025-10-07,625,206.7,3.07,0.93,Normal
RD0006863,CON00572,2025-11-07,796,236.6,4.18,0.87,Normal
RD0006864,CON00572,2025-12-08,677,214.7,3.64,0.85,Normal
RD0006865,CON00573,2025-01-01,165,222.8,0.79,0.95,Normal
RD0006866,CON00573,2025-02-01,133,237.5,0.62,0.98,Normal
RD0006867,CON00573,2025-03-04,97,228.9,0.47,0.95,Normal
RD0006868,CON00573,2025-04-04,133,237.1,0.68,0.89,Normal
RD0006869,CON00573,2025-05-05,146,231.6,0.69,0.97,Normal
RD0006870,CON00573,2025-06-05,137,243.1,0.66,0.95,Normal
RD0006871,CON00573,2025-07-06,138,220.9,0.66,0.96,Normal
RD0006872,CON00573,2025-08-06,114,227.5,0.56,0.93,Normal
RD0006873,CON00573,2025-09-06,144,210.9,0.74,0.89,Normal
RD0006874,CON00573,2025-10-07,230,224.5,1.13,0.93,Normal
RD0006875,CON00573,2025-11-07,77,233.5,0.37,0.95,Normal
RD0006876,CON00573,2025-12-08,158,230.7,0.78,0.93,Normal
RD0006877,CON00574,2025-01-01,594,226.6,2.92,0.93,Normal
RD0006878,CON00574,2025-02-01,561,214.9,2.98,0.86,Normal
RD0006879,CON00574,2025-03-04,705,228.7,3.35,0.96,Normal
RD0006880,CON00574,2025-04-04,800,233.2,4.1,0.89,Normal
RD0006881,CON00574,2025-05-05,759,210.4,3.73,0.93,Normal
RD0006882,CON00574,2025-06-05,386,221.1,2.03,0.87,Normal
RD0006883,CON00574,2025-07-06,623,223.6,2.93,0.97,Normal
RD0006884,CON00574,2025-08-06,668,238.9,3.28,0.93,Normal
RD0006885,CON00574,2025-09-06,761,236.8,4.09,0.85,Normal
RD0006886,CON00574,2025-10-07,464,220.5,2.18,0.97,Normal
RD0006887,CON00574,2025-11-07,741,226.2,3.8,0.89,Normal
RD0006888,CON00574,2025-12-08,675,234.6,3.5,0.88,Normal
RD0006889,CON00575,2025-01-01,2722,221.5,13.08,0.95,Normal
RD0006890,CON00575,2025-02-01,5810,233.9,29.48,0.9,Normal
RD0006891,CON00575,2025-03-04,4840,223.6,23.76,0.93,Normal
RD0006892,CON00575,2025-04-04,3798,214.7,18.45,0.94,Normal
RD0006893,CON00575,2025-05-05,4378,251.4,21.27,0.94,Normal
RD0006894,CON00575,2025-06-05,1155,232.0,6.76,0.78,Tampered
RD0006895,CON00575,2025-07-06,1028,249.2,7.01,0.67,Tampered
RD0006896,CON00575,2025-08-06,934,227.1,5.76,0.74,Tampered
RD0006897,CON00575,2025-09-06,1114,235.4,7.27,0.7,Tampered
RD0006898,CON00575,2025-10-07,1112,241.4,6.96,0.73,Tampered
RD0006899,CON00575,2025-11-07,1104,235.0,6.38,0.79,Tampered
RD0006900,CON00575,2025-12-08,1340,229.8,9.41,0.65,Tampered
RD0006901,CON00576,2025-01-01,3395,224.7,17.62,0.88,Normal
RD0006902,CON00576,2025-02-01,4071,224.4,20.89,0.89,Normal
RD0006903,CON00576,2025-03-04,4600,239.9,22.11,0.95,Normal
RD0006904,CON00576,2025-04-04,5098,233.3,26.45,0.88,Normal
RD0006905,CON00576,2025-05-05,5952,244.2,28.91,0.94,Normal
RD0006906,CON00576,2025-06-05,3716,231.0,18.85,0.9,Normal
RD0006907,CON00576,2025-07-06,3510,230.1,16.35,0.98,Normal
RD0006908,CON00576,2025-08-06,2461,218.1,12.21,0.92,Normal
RD0006909,CON00576,2025-09-06,5208,226.4,24.27,0.98,Normal
RD0006910,CON00576,2025-10-07,5504,224.2,28.56,0.88,Normal
RD0006911,CON00576,2025-11-07,3651,214.8,18.32,0.91,Normal
RD0006912,CON00576,2025-12-08,4287,226.2,21.75,0.9,Normal
RD0006913,CON00577,2025-01-01,178,234.1,0.84,0.97,Normal
RD0006914,CON00577,2025-02-01,161,219.8,0.76,0.97,Normal
RD0006915,CON00577,2025-03-04,132,232.9,0.63,0.95,Normal
RD0006916,CON00577,2025-04-04,183,224.4,0.92,0.91,Normal
RD0006917,CON00577,2025-05-05,152,236.8,0.71,0.98,Normal
RD0006918,CON00577,2025-06-05,167,208.2,0.79,0.96,Normal
RD0006919,CON00577,2025-07-06,94,234.3,0.49,0.88,Normal
RD0006920,CON00577,2025-08-06,130,216.4,0.62,0.96,Normal
RD0006921,CON00577,2025-09-06,128,232.0,0.62,0.95,Normal
RD0006922,CON00577,2025-10-07,188,217.3,1.0,0.86,Normal
RD0006923,CON00577,2025-11-07,131,236.3,0.62,0.97,Normal
RD0006924,CON00577,2025-12-08,81,237.4,0.39,0.95,Normal
RD0006925,CON00578,2025-01-01,3511,238.6,17.06,0.94,Normal
RD0006926,CON00578,2025-02-01,3609,229.2,18.31,0.9,Normal
RD0006927,CON00578,2025-03-04,3527,227.7,18.51,0.87,Normal
RD0006928,CON00578,2025-04-04,3993,229.9,18.8,0.97,Normal
RD0006929,CON00578,2025-05-05,4086,229.8,19.23,0.97,Normal
RD0006930,CON00578,2025-06-05,4969,227.3,23.88,0.95,Normal
RD0006931,CON00578,2025-07-06,4086,222.3,21.69,0.86,Normal
RD0006932,CON00578,2025-08-06,3398,225.2,17.83,0.87,Normal
RD0006933,CON00578,2025-09-06,3170,233.5,16.45,0.88,Normal
RD0006934,CON00578,2025-10-07,2911,231.4,14.29,0.93,Normal
RD0006935,CON00578,2025-11-07,4534,221.0,21.57,0.96,Normal
RD0006936,CON00578,2025-12-08,3238,232.5,17.19,0.86,Normal
RD0006937,CON00579,2025-01-01,152,236.2,0.75,0.93,Normal
RD0006938,CON00579,2025-02-01,119,225.7,0.56,0.97,Normal
RD0006939,CON00579,2025-03-04,79,231.7,0.4,0.91,Normal
RD0006940,CON00579,2025-04-04,125,223.3,0.63,0.91,Normal
RD0006941,CON00579,2025-05-05,167,224.6,0.79,0.97,Normal
RD0006942,CON00579,2025-06-05,169,224.5,0.8,0.96,Normal
RD0006943,CON00579,2025-07-06,135,231.8,0.64,0.96,Normal
RD0006944,CON00579,2025-08-06,165,232.0,0.88,0.86,Normal
RD0006945,CON00579,2025-09-06,119,226.7,0.57,0.96,Normal
RD0006946,CON00579,2025-10-07,127,237.8,0.61,0.95,Normal
RD0006947,CON00579,2025-11-07,155,222.7,0.82,0.86,Normal
RD0006948,CON00579,2025-12-08,141,213.6,0.67,0.96,Normal
RD0006949,CON00580,2025-01-01,92,223.0,0.47,0.9,Normal
RD0006950,CON00580,2025-02-01,89,246.5,0.42,0.96,Normal
RD0006951,CON00580,2025-03-04,160,234.6,0.75,0.97,Normal
RD0006952,CON00580,2025-04-04,140,238.3,0.71,0.9,Normal
RD0006953,CON00580,2025-05-05,142,225.4,0.67,0.97,Normal
RD0006954,CON00580,2025-06-05,144,216.0,0.74,0.89,Normal
RD0006955,CON00580,2025-07-06,162,234.0,0.85,0.87,Normal
RD0006956,CON00580,2025-08-06,135,242.8,0.69,0.89,Normal
RD0006957,CON00580,2025-09-06,155,228.3,0.81,0.87,Normal
RD0006958,CON00580,2025-10-07,149,228.7,0.76,0.9,Normal
RD0006959,CON00580,2025-11-07,135,240.3,0.71,0.87,Normal
RD0006960,CON00580,2025-12-08,163,231.3,0.8,0.93,Normal
RD0006961,CON00581,2025-01-01,164,231.3,0.83,0.9,Normal
RD0006962,CON00581,2025-02-01,119,234.5,0.62,0.87,Normal
RD0006963,CON00581,2025-03-04,172,243.3,0.86,0.91,Normal
RD0006964,CON00581,2025-04-04,147,230.9,0.75,0.89,Normal
RD0006965,CON00581,2025-05-05,161,228.4,0.85,0.87,Normal
RD0006966,CON00581,2025-06-05,189,245.9,0.99,0.87,Normal
RD0006967,CON00581,2025-07-06,161,231.1,0.85,0.87,Normal
RD0006968,CON00581,2025-08-06,125,235.5,0.61,0.94,Normal
RD0006969,CON00581,2025-09-06,207,222.7,1.04,0.91,Normal
RD0006970,CON00581,2025-10-07,154,235.6,0.79,0.89,Normal
RD0006971,CON00581,2025-11-07,215,232.2,1.02,0.96,Normal
RD0006972,CON00581,2025-12-08,90,227.9,0.45,0.91,Normal
RD0006973,CON00582,2025-01-01,72,231.0,0.34,0.97,Normal
RD0006974,CON00582,2025-02-01,49,221.6,0.23,0.98,Normal
RD0006975,CON00582,2025-03-04,56,227.4,0.3,0.85,Normal
RD0006976,CON00582,2025-04-04,58,228.4,0.29,0.91,Normal
RD0006977,CON00582,2025-05-05,36,241.9,0.18,0.92,Normal
RD0006978,CON00582,2025-06-05,48,218.7,0.26,0.85,Normal
RD0006979,CON00582,2025-07-06,47,237.6,0.23,0.94,Normal
RD0006980,CON00582,2025-08-06,36,224.1,0.19,0.87,Normal
RD0006981,CON00582,2025-09-06,57,219.3,0.29,0.89,Normal
RD0006982,CON00582,2025-10-07,45,217.8,0.24,0.87,Normal
RD0006983,CON00582,2025-11-07,43,235.4,0.2,0.97,Normal
RD0006984,CON00582,2025-12-08,72,216.5,0.38,0.87,Normal
RD0006985,CON00583,2025-01-01,129,233.0,0.64,0.92,Normal
RD0006986,CON00583,2025-02-01,164,238.3,0.81,0.93,Normal
RD0006987,CON00583,2025-03-04,164,222.3,0.77,0.97,Normal
RD0006988,CON00583,2025-04-04,139,213.6,0.72,0.88,Normal
RD0006989,CON00583,2025-05-05,128,232.8,0.64,0.92,Normal
RD0006990,CON00583,2025-06-05,166,226.5,0.88,0.86,Normal
RD0006991,CON00583,2025-07-06,228,222.7,1.18,0.88,Normal
RD0006992,CON00583,2025-08-06,151,234.1,0.78,0.88,Normal
RD0006993,CON00583,2025-09-06,115,224.1,0.6,0.87,Normal
RD0006994,CON00583,2025-10-07,118,233.6,0.59,0.91,Normal
RD0006995,CON00583,2025-11-07,101,238.7,0.52,0.88,Normal
RD0006996,CON00583,2025-12-08,123,243.6,0.61,0.92,Normal
RD0006997,CON00584,2025-01-01,134,246.6,0.63,0.97,Normal
RD0006998,CON00584,2025-02-01,164,228.0,0.78,0.96,Normal
RD0006999,CON00584,2025-03-04,133,236.5,0.7,0.87,Normal
RD0007000,CON00584,2025-04-04,155,231.9,0.72,0.98,Normal
RD0007001,CON00584,2025-05-05,140,230.1,0.73,0.87,Normal
RD0007002,CON00584,2025-06-05,171,234.4,0.88,0.89,Normal
RD0007003,CON00584,2025-07-06,137,238.9,0.67,0.94,Normal
RD0007004,CON00584,2025-08-06,103,225.5,0.49,0.96,Normal
RD0007005,CON00584,2025-09-06,199,232.4,1.0,0.91,Normal
RD0007006,CON00584,2025-10-07,153,233.1,0.73,0.96,Normal
RD0007007,CON00584,2025-11-07,123,221.8,0.65,0.86,Normal
RD0007008,CON00584,2025-12-08,131,250.8,0.62,0.96,Normal
RD0007009,CON00585,2025-01-01,735,216.2,3.5,0.96,Normal
RD0007010,CON00585,2025-02-01,943,238.6,5.07,0.85,Normal
RD0007011,CON00585,2025-03-04,558,241.7,2.6,0.98,Normal
RD0007012,CON00585,2025-04-04,548,220.9,2.84,0.88,Normal
RD0007013,CON00585,2025-05-05,528,241.9,2.8,0.86,Normal
RD0007014,CON00585,2025-06-05,685,223.1,3.55,0.88,Normal
RD0007015,CON00585,2025-07-06,708,233.0,3.59,0.9,Normal
RD0007016,CON00585,2025-08-06,468,241.0,2.43,0.88,Normal
RD0007017,CON00585,2025-09-06,569,229.2,2.92,0.89,Normal
RD0007018,CON00585,2025-10-07,717,217.5,3.56,0.92,Normal
RD0007019,CON00585,2025-11-07,505,227.2,2.65,0.87,Normal
RD0007020,CON00585,2025-12-08,679,221.5,3.33,0.93,Normal
RD0007021,CON00586,2025-01-01,131,245.7,0.64,0.94,Normal
RD0007022,CON00586,2025-02-01,153,227.2,0.81,0.86,Normal
RD0007023,CON00586,2025-03-04,156,220.0,0.77,0.92,Normal
RD0007024,CON00586,2025-04-04,191,237.1,1.01,0.86,Normal
RD0007025,CON00586,2025-05-05,147,233.6,0.75,0.9,Normal
RD0007026,CON00586,2025-06-05,126,243.3,0.59,0.97,Normal
RD0007027,CON00586,2025-07-06,136,242.6,0.68,0.91,Normal
RD0007028,CON00586,2025-08-06,135,232.2,0.65,0.95,Normal
RD0007029,CON00586,2025-09-06,157,228.7,0.79,0.91,Normal
RD0007030,CON00586,2025-10-07,146,237.2,0.77,0.87,Normal
RD0007031,CON00586,2025-11-07,96,239.2,0.45,0.97,Normal
RD0007032,CON00586,2025-12-08,134,225.2,0.71,0.86,Normal
RD0007033,CON00587,2025-01-01,138,235.7,0.72,0.88,Normal
RD0007034,CON00587,2025-02-01,143,214.6,0.77,0.85,Normal
RD0007035,CON00587,2025-03-04,99,225.9,0.52,0.87,Normal
RD0007036,CON00587,2025-04-04,171,236.8,0.89,0.88,Normal
RD0007037,CON00587,2025-05-05,162,243.4,0.78,0.95,Normal
RD0007038,CON00587,2025-06-05,137,237.5,0.64,0.97,Normal
RD0007039,CON00587,2025-07-06,144,237.5,0.71,0.92,Normal
RD0007040,CON00587,2025-08-06,114,228.0,0.57,0.92,Normal
RD0007041,CON00587,2025-09-06,160,223.6,0.86,0.85,Normal
RD0007042,CON00587,2025-10-07,157,245.1,0.81,0.89,Normal
RD0007043,CON00587,2025-11-07,114,234.5,0.53,0.98,Normal
RD0007044,CON00587,2025-12-08,145,212.7,0.76,0.87,Normal
RD0007045,CON00588,2025-01-01,160,237.6,0.8,0.91,Normal
RD0007046,CON00588,2025-02-01,143,235.5,0.73,0.9,Normal
RD0007047,CON00588,2025-03-04,140,236.2,0.73,0.87,Normal
RD0007048,CON00588,2025-04-04,132,240.1,0.65,0.93,Normal
RD0007049,CON00588,2025-05-05,178,239.8,0.86,0.94,Normal
RD0007050,CON00588,2025-06-05,96,240.5,0.5,0.87,Normal
RD0007051,CON00588,2025-07-06,114,230.2,0.54,0.97,Normal
RD0007052,CON00588,2025-08-06,221,234.2,1.03,0.98,Normal
RD0007053,CON00588,2025-09-06,135,248.9,0.7,0.88,Normal
RD0007054,CON00588,2025-10-07,169,235.4,0.8,0.97,Normal
RD0007055,CON00588,2025-11-07,76,231.2,0.37,0.94,Normal
RD0007056,CON00588,2025-12-08,218,238.8,1.06,0.94,Normal
RD0007057,CON00589,2025-01-01,129,234.4,0.65,0.91,Normal
RD0007058,CON00589,2025-02-01,155,224.3,0.72,0.98,Normal
RD0007059,CON00589,2025-03-04,181,240.0,0.87,0.95,Normal
RD0007060,CON00589,2025-04-04,70,227.8,0.33,0.98,Normal
RD0007061,CON00589,2025-05-05,188,226.3,0.92,0.93,Normal
RD0007062,CON00589,2025-06-05,43,231.6,0.25,0.78,Tampered
RD0007063,CON00589,2025-07-06,54,233.1,0.34,0.72,Tampered
RD0007064,CON00589,2025-08-06,47,230.3,0.29,0.75,Tampered
RD0007065,CON00589,2025-09-06,45,242.8,0.27,0.77,Tampered
RD0007066,CON00589,2025-10-07,53,232.4,0.34,0.71,Tampered
RD0007067,CON00589,2025-11-07,55,235.8,0.38,0.66,Tampered
RD0007068,CON00589,2025-12-08,37,232.5,0.23,0.73,Tampered
RD0007069,CON00590,2025-01-01,180,225.2,0.96,0.86,Normal
RD0007070,CON00590,2025-02-01,168,231.2,0.81,0.95,Normal
RD0007071,CON00590,2025-03-04,149,234.0,0.76,0.9,Normal
RD0007072,CON00590,2025-04-04,154,235.5,0.72,0.98,Normal
RD0007073,CON00590,2025-05-05,120,230.9,0.6,0.92,Normal
RD0007074,CON00590,2025-06-05,140,225.7,0.68,0.94,Normal
RD0007075,CON00590,2025-07-06,90,225.6,0.43,0.96,Normal
RD0007076,CON00590,2025-08-06,162,236.0,0.83,0.89,Normal
RD0007077,CON00590,2025-09-06,152,235.0,0.78,0.89,Normal
RD0007078,CON00590,2025-10-07,160,220.8,0.79,0.92,Normal
RD0007079,CON00590,2025-11-07,139,239.1,0.74,0.86,Normal
RD0007080,CON00590,2025-12-08,161,230.3,0.77,0.95,Normal
RD0007081,CON00591,2025-01-01,105,226.8,0.52,0.92,Normal
RD0007082,CON00591,2025-02-01,102,239.0,0.49,0.96,Normal
RD0007083,CON00591,2025-03-04,141,221.5,0.68,0.94,Normal
RD0007084,CON00591,2025-04-04,192,222.2,1.02,0.86,Normal
RD0007085,CON00591,2025-05-05,122,234.6,0.63,0.88,Normal
RD0007086,CON00591,2025-06-05,182,226.4,0.87,0.96,Normal
RD0007087,CON00591,2025-07-06,182,230.1,0.86,0.97,Normal
RD0007088,CON00591,2025-08-06,153,225.4,0.78,0.89,Normal
RD0007089,CON00591,2025-09-06,157,219.6,0.83,0.86,Normal
RD0007090,CON00591,2025-10-07,158,217.9,0.83,0.87,Normal
RD0007091,CON00591,2025-11-07,120,235.2,0.58,0.94,Normal
RD0007092,CON00591,2025-12-08,148,242.5,0.78,0.87,Normal
RD0007093,CON00592,2025-01-01,672,221.6,3.26,0.94,Normal
RD0007094,CON00592,2025-02-01,635,236.0,3.19,0.91,Normal
RD0007095,CON00592,2025-03-04,620,231.9,2.92,0.97,Normal
RD0007096,CON00592,2025-04-04,512,225.4,2.57,0.91,Normal
RD0007097,CON00592,2025-05-05,630,226.1,3.0,0.96,Normal
RD0007098,CON00592,2025-06-05,423,241.8,2.22,0.87,Normal
RD0007099,CON00592,2025-07-06,432,236.5,2.08,0.95,Normal
RD0007100,CON00592,2025-08-06,679,226.3,3.26,0.95,Normal
RD0007101,CON00592,2025-09-06,435,238.0,2.16,0.92,Normal
RD0007102,CON00592,2025-10-07,698,232.6,3.75,0.85,Normal
